month,usd_ugx,E_IFEM_MR,E_OFF_MR,E_EP
2002-01,1738.74,,1738.74,1733.975
2002-02,1741.4375,,1741.4375,1758.36
2002-03,1771.03263157895,,1771.03263157895,1778.06
2002-04,1792.18976190476,,1792.18976190476,1798.39
2002-05,1797.59159090909,,1797.59159090909,1798.04
2002-06,1797.173,,1797.173,1797.15
2002-07,1802.83217391304,,1802.83217391304,1806.91
2002-08,1805.827,,1805.827,1806.27
2002-09,1812.644,,1812.644,1818.745
2002-10,1827.1975,,1827.1975,1833.73
2002-11,1832.319,,1832.319,1842.775
2002-12,1845.007,,1845.007,1852.57
2003-01,1867.686,,1867.686,1873.63
2003-02,1883.783,,1883.783,1911.55
2003-03,1944.445,,1944.445,1971.465
2003-04,1976.53075,,1976.53075,1986.54
2003-05,1997.85,,1997.85,1988.71
2003-06,1998.231,,1998.231,2002.81
2003-07,1995.277,,1995.277,1995.455
2003-08,1998.491,,1998.491,2000.55
2003-09,1993.546,,1993.546,1984.675
2003-10,1990.729,,1990.729,1984.82
2003-11,1974.488,,1974.488,1958.77
2003-12,1943.161,,1943.161,1935.32
2004-01,1938.1585,,1938.1585,1909.32
2004-02,1865.064,,1865.064,1906.895
2004-03,1926.65068181818,,1926.65068181818,1925.71
2004-04,1918.78225,,1918.78225,1911.26
2004-05,1855.53473809524,,1855.53473809524,1833.1
2004-06,1818.6645,,1818.6645,1788.755
2004-07,1748.26186363636,,1748.26186363636,1770.72
2004-08,1731.52318181818,,1731.52318181818,1717.215
2004-09,1721.1659,,1721.1659,1753.15
2004-10,1735.43666666667,,1735.43666666667,1726.985
2004-11,1730.88522727273,,1730.88522727273,1746.57
2004-12,1739.13921052632,,1739.13921052632,1738.59
2005-01,1732.00578947368,1732.00578947368,1732.00578947368,1713.8
2005-02,1711.0665,1711.0665,1711.0665,1700.61
2005-03,1711.23,1711.234,1711.23,1742.46
2005-04,1777.68,1777.6869047619,1777.68,1776.82
2005-05,1775.623,1775.62318181818,1775.623,1762.76
2005-06,1738.31875,1738.31875,1738.31875,1740.25
2005-07,1752.12225,1752.12225,1752.12225,1774.435
2005-08,1814.85977272727,1814.85977272727,1814.85977272727,1820.2
2005-09,1847.60681818182,1847.60681818182,1847.60681818182,1862.68
2005-10,1855.36525,1855.36525,1856.8035,1830.13
2005-11,1834.47047619048,1834.47047619048,1834.53547619048,1828.765
2005-12,1816.13452380952,1816.13452380952,1816.13452380952,1816.855
2006-01,1819.12125,1819.12125,1819.12125,1820.19
2006-02,1815.84157894737,1815.84157894737,1815.84157894737,1824.75
2006-03,1820.94328947366,1820.94328947366,1820.94328947366,1823.51
2006-04,1827.48111111111,1827.48111111111,1827.48111111111,1834.2
2006-05,1836.3419047619,1836.3419047619,1836.3419047619,1851.375
2006-06,1859.94928571429,1859.94928571429,1859.94928571429,1862.295
2006-07,1857.71642857143,1857.71642857143,1857.71642857143,1855.885
2006-08,1847.73967391304,1847.73967391304,1847.73967391304,1853.125
2006-09,1854.67666666667,1854.67666666667,1854.67666666667,1861.085
2006-10,1843.4265,1843.4265,1843.4265,1819.765
2006-11,1818.85136363636,1818.85136363636,1818.85136363636,1808.52
2006-12,1775.33315789474,1775.33315789474,1775.33315789474,1741.44
2007-01,1792.27880952381,1792.27880952381,1792.27880952381,1759.53
2007-02,1751.68275,1751.68275,1751.68275,1735.33
2007-03,1750.67642857143,1750.67642857143,1750.67642857143,1746.56
2007-04,1728.89078947368,1728.89078947368,1728.89078947368,1726.725
2007-05,1695.15272727273,1695.15272727273,1695.15272727273,1693.085
2007-06,1643.57333333333,1643.57333333333,1643.57333333333,1590.13
2007-07,1652.86977272727,1652.86977272727,1652.86977272727,1661.5
2007-08,1737.43043478261,1737.43043478261,1737.43043478261,1785.415
2007-09,1762.83025,1762.83025,1762.83025,1752.09
2007-10,1747.17166666667,1747.17166666667,1747.17166666667,1735.45
2007-11,1707.72875,1707.72875,1707.72875,1738.685
2007-12,1711.61333333333,1711.61333333333,1711.61333333333,1697.34
2008-01,1710.58568181818,1710.58568181818,1710.58568181818,1726.045
2008-02,1707.82976190476,1707.82976190476,1707.82976190476,1692.18
2008-03,1684.25552631579,1684.25552631579,1684.25552631579,1693.515
2008-04,1686.68340909091,1686.68340909091,1686.68340909091,1681.845
2008-05,1647.68071428571,1647.68071428571,1647.68071428571,1628.24
2008-06,1600.73973684211,1600.73973684211,1600.73973684211,1619.48
2008-07,1633.9402173913,1633.9402173913,1633.9402173913,1640.665
2008-08,1623.61904761905,1623.61904761905,1623.61904761905,1644.985
2008-09,1645.01075,1645.01075,1645.01075,1670.045
2008-10,1838.66295454545,1838.66295454545,1838.66295454545,1880.99
2008-11,1910.13,1910.13,1910.13,1973.895
2008-12,1956.18875,1956.18875,1956.18875,1949.18
2009-01,1975.97,1975.97,1975.97,1977.495
2009-02,1964.83275,1964.83275,1964.83,1980.005
2009-03,2051.54522727273,2051.54522727273,2051.54522727273,2118.41
2009-04,2175.61025,2175.61025,2175.61025,2226.735
2009-05,2247.6825,2247.6825,2247.6825,2234.275
2009-06,2137.1795,2137.1795,2137.18,2064.075
2009-07,2110.76630434783,2110.76630434783,2110.76630434783,2104.49
2009-08,2071.66880952381,2071.66880952381,2071.66880952381,2055.495
2009-09,1961.90363636364,1961.90363636364,1961.90363636364,1923.985
2009-10,1898.28261904762,1898.28261904762,1898.28261904762,1883.795
2009-11,1873.77825,1873.77825,1873.77825,1870.735
2009-12,1896.63704545455,1896.63704545455,1896.63704545455,1899.71
2010-01,1935.62605263158,1935.62605263158,1935.62605263158,1949.165
2010-02,1996.536,1996.536,1996.536,2045.44
2010-03,2086.36636363636,2086.36636363636,2086.36636363636,2084.345
2010-04,2083.004,2083.004,2083.004,2123.255
2010-05,2174.56833333333,2174.56833333333,2174.56833333333,2208.915
2010-06,2257.436,2257.436,2257.436,2283.335
2010-07,2257.28636363636,2257.28636363636,2257.28636363636,2231.575
2010-08,2230.94071428571,2230.94071428571,2230.94071428571,2270.0
2010-09,2251.3030952381,2251.3030952381,2251.3030952381,2244.08
2010-10,2264.82095427255,2264.82095427255,2264.82095427255,2284.72
2010-11,2288.87285714286,2288.87285714286,2288.87285714286,2313.665
2010-12,2303.92934782609,2303.92934782609,2303.92934782609,2308.3
2011-01,2333.135,2332.46641666667,2332.46641666667,2302.71
2011-02,2341.92722222222,2341.92722222222,2341.92722222222,2359.245
2011-03,2393.31304761905,2393.31304761905,2393.31304761905,2397.29
2011-04,2367.58921052632,2367.58921052632,2367.58921052632,2374.99
2011-05,2387.68404761905,2387.68404761905,2387.68404761905,2390.365
2011-06,2461.0385,2461.0385,2461.0385,2623.165
2011-07,2587.22833333333,2587.22833333333,2587.22833333333,2610.585
2011-08,2753.23272727273,2753.23272727273,2753.23272727273,2821.13
2011-09,2814.01876833079,2814.01876833079,2814.01876833079,2845.03339994917
2011-10,2805.36597490669,2805.36597490669,2805.36597490669,2593.4
2011-11,2582.17727272727,2582.17727272727,2582.17727272727,2566.235
2011-12,2446.91428571429,2446.91428571429,2446.91428571429,2490.99
2012-01,2414.1930952381,2414.1930952381,2414.1930952381,2326.83
2012-02,2327.96928571429,2327.96928571429,2327.96928571429,2372.52
2012-03,2485.0180952381,2485.0180952381,2485.0180952381,2518.44
2012-04,2506.21263157895,2506.21263157895,2506.21263157895,2505.735
2012-05,2479.05294603737,2479.05294603737,2479.05294603737,2488.02
2012-06,2484.35761904762,2484.35761904762,2484.35761904762,2472.36
2012-07,2474.18022727273,2474.18022727273,2474.18022727273,2478.74
2012-08,2492.03812895046,2492.03812895046,2492.03812895046,2508.525
2012-09,2515.877,2515.877,2515.877,2545.225
2012-10,2579.42811295549,2579.42811295549,2579.42811295549,2585.405
2012-11,2622.95272727273,2622.95272727273,2622.95272727273,2688.37
2012-12,2673.47706169355,2673.47706169355,2673.47706169355,2685.945
2013-01,2683.78928571429,2683.78928571429,2683.78928571429,2665.175
2013-02,2657.54930301252,2657.54930301252,2657.54930301252,2643.675
2013-03,2636.89157894737,2636.89157894737,2636.89157894737,2594.77
2013-04,2578.01169263981,2578.01169263981,2578.01169263981,2597.3455454361
2013-05,2586.11348761546,2586.11348761546,2586.11348761546,2594.5002321063
2013-06,2593.08150594265,2593.08150594265,2593.08150594265,2593.33125024803
2013-07,2588.90052048496,2588.90052048496,2588.90052048496,2584.12244337245
2013-08,2578.87150811025,2578.87150811025,2578.87150811025,2590.1889529637
2013-09,2568.86421408837,2568.86421408837,2568.86421408837,2561.03
2013-10,2534.39184378998,2534.39184378998,2534.39184378998,2524.03514414402
2013-11,2523.27262143086,2523.27262143086,2523.27262143086,2524.48769711124
2013-12,2512.93726101084,2512.93726101084,2512.93726101084,2527.95547939149
2014-01,2499.90389076533,2499.90389076533,2499.90389076533,2475.2
2014-02,2471.96178951448,2471.96178951448,2471.96178951448,2538.06546999496
2014-03,2534.21569131073,2534.21569131073,2534.21569131073,2549.54874617274
2014-04,2529.78700697517,2529.78700697517,2529.78700697517,2521.35166666667
2014-05,2532.38585285101,2532.38585285101,2532.38585285101,2557.72060679643
2014-06,2580.86227148587,2580.86227148587,2580.86227148587,2599.68
2014-07,2633.51535669946,2633.51535669946,2633.51535669946,2625.2
2014-08,2612.50468682125,2612.50468682125,2612.5,2616.995
2014-09,2618.79615030458,2618.79615030458,2618.79615030458,2651.60655661537
2014-10,2680.50866141967,2680.50866141967,2680.50866141967,2707.33
2014-11,2734.22225,2734.22225,2734.22225,2779.945
2014-12,2768.79479918052,2768.79479918052,2768.79479918052,2773.065
2015-01,2860.71175,2860.71175,2860.71175,2866.77
2015-02,2868.8475,2868.8475,2868.8475,2894.18
2015-03,2951.73681255155,2951.73681255155,2951.73681255155,2970.63
2015-04,2995.578,2995.578,2995.578,2987.47
2015-05,3007.603,3007.603,3007.603,3054.29
2015-06,3199.90275,3199.90275,3199.90275,3301.77
2015-07,3360.09409090909,3360.09409090909,3360.09409090909,3425.81
2015-08,3548.25119047619,3548.25119047619,3548.25119047619,3658.39
2015-09,3667.50476190476,3667.50476190476,3667.50476190476,3695.25
2015-10,3636.02452380952,3636.02452380952,3636.02452380952,3560.19
2015-11,3428.99809523809,3428.99809523809,3428.99809523809,3357.12
2015-12,3362.49256916996,3362.49256916996,3362.49256916996,3377.01
2016-01,3451.20894736842,3451.20894736842,3451.20894736842,3479.55
