area,households,n_rent,n_sale,median_income,median_price,monthly_payment,own_income_needed,oai,oai_lo,oai_hi,agi_own,ri_own,ri_own_housing_induced,below_nonhousing_min,median_rent,rai,rai_lo,rai_hi,rent_income_needed,agi_rent,ri_rent,ri_rent_housing_induced,ri_rent_median_residual
Kampala/Nabisunsa,378.0,0,0,1272291.6232,,,,,,,,,,,,,,,,,,,
Mpigi/Kayabwe,2841.0,0,0,379728.9243,,,,,,,,,,,,,,,,,,,
Wakiso/Lubbe,869.0,0,0,258432.0836,,,,,,,,,,,,,,,,,,,
Wakiso/Bukasa,8932.0,0,0,487294.12,,,,,,,,,,,,,,,,,,,
Mukono/Namagunga,1949.0,0,0,550481.9075,,,,,,,,,,,,,,,,,,,
Mukono/Seeta-Nazigo,2977.0,0,0,281033.3666,,,,,,,,,,,,,,,,,,,
Kampala/Namirembe,4241.0,0,0,954613.1782,,,,,,,,,,,,,,,,,,,
Buikwe/Nkokonjeru,1038.0,0,0,294365.0723,,,,,,,,,,,,,,,,,,,
Wakiso/Buddo,5627.0,0,0,637736.3447,,,,,,,,,,,,,,,,,,,
Wakiso/Masooli,6221.0,0,0,740105.6236,,,,,,,,,,,,,,,,,,,
Kampala/Bwaise Iii,2897.0,0,0,613712.093,,,,,,,,,,,,,,,,,,,
Luwero/Buyuki,1744.0,0,0,266132.3181,,,,,,,,,,,,,,,,,,,
Kampala/Kololo I,849.0,0,0,1633433.2653,,,,,,,,,,,,,,,,,,,
Mukono/Kyabazala,1330.0,0,0,249170.2083,,,,,,,,,,,,,,,,,,,
Wakiso/Banda,2059.0,0,0,352975.5459,,,,,,,,,,,,,,,,,,,
Buikwe/Tukulu,1591.0,0,0,190160.6221,,,,,,,,,,,,,,,,,,,
Mukono/Kyetume,3196.0,0,0,489610.9695,,,,,,,,,,,,,,,,,,,
Luwero/Kiwogozi,6291.0,0,0,430914.0635,,,,,,,,,,,,,,,,,,,
Kampala/Kabowa,9898.0,0,1,726456.4176,,,,,,,,,,,,,,,,,,,
Wakiso/Wampeewo,12720.0,0,0,726784.6922,,,,,,,,,,,,,,,,,,,
Wakiso/Kitayita,1085.0,0,0,186759.3352,,,,,,,,,,,,,,,,,,,
Mukono/Namuganga,1934.0,0,0,206646.1987,,,,,,,,,,,,,,,,,,,
Wakiso/Kanziro,713.0,0,0,196533.3026,,,,,,,,,,,,,,,,,,,
Wakiso/Magoggo,1612.0,0,0,183463.0006,,,,,,,,,,,,,,,,,,,
Wakiso/Kasenge,17091.0,0,0,571694.4536,,,,,,,,,,,,,,,,,,,
Kampala/Katwe I,2076.0,0,0,617726.6017,,,,,,,,,,,,,,,,,,,
Buikwe/Kigenda,1312.0,0,0,243288.3363,,,,,,,,,,,,,,,,,,,
Kampala/Luzira,5630.0,7,6,1027895.2964,,,,,,,,,,,,,,,,,,,
Luwero/Kikoma,1655.0,0,0,338521.0878,,,,,,,,,,,,,,,,,,,
Kampala/Bukasa,2467.0,1,3,1160589.2346,,,,,,,,,,,,,,,,,,,
Luwero/Kikube,954.0,0,0,209926.7265,,,,,,,,,,,,,,,,,,,
Kampala/Nsambya Railway,263.0,0,0,520815.7483,,,,,,,,,,,,,,,,,,,
Kampala/Kawempe Ii,7231.0,0,0,811794.812,,,,,,,,,,,,,,,,,,,
Luwero/Kakinzi,1354.0,0,0,201998.0845,,,,,,,,,,,,,,,,,,,
Mukono/Kyabalogo,2561.0,0,3,330137.7208,,,,,,,,,,,,,,,,,,,
Wakiso/Kitala,10695.0,0,0,762354.2867,,,,,,,,,,,,,,,,,,,
Kampala/Bukesa,3472.0,0,1,782046.3178,,,,,,,,,,,,,,,,,,,
Luwero/Nambi,1081.0,0,0,239814.4778,,,,,,,,,,,,,,,,,,,
Wakiso/Bweyogerere,21762.0,31,30,689030.6443,225000000.0,2466320.293,7046629.4084,9.7782,6.6644,12.9417,0.997,0.9453,0.8726,0.0727,550000.0,37.5835,29.5299,59.0598,1833333.3333,0.8765,0.5407,0.468,-62190.1149
Buikwe/Kabanga,1731.0,0,1,246913.8079,,,,,,,,,,,,,,,,,,,
Mukono/Kasenge,4801.0,0,0,447276.0056,,,,,,,,,,,,,,,,,,,
Wakiso/Nakyelongoosa,1763.0,0,0,417252.6165,,,,,,,,,,,,,,,,,,,
Kampala/Industrial Area,1564.0,0,0,399014.2611,,,,,,,,,,,,,,,,,,,
Mukono/Namaliri,2970.0,0,0,280990.0763,,,,,,,,,,,,,,,,,,,
Kampala/Mengo,4547.0,19,4,667722.1944,,,,,,,,,,,,,,,,,,,
Kampala/Lubya,17697.0,1,4,903636.286,,,,,,,,,,,,,,,,,,,
Mukono/Mugomba,457.0,0,0,186314.0219,,,,,,,,,,,,,,,,,,,
Buikwe/Malongwe,1663.0,0,0,266058.6742,,,,,,,,,,,,,,,,,,,
Wakiso/Kabumba,1092.0,0,0,316604.3602,,,,,,,,,,,,,,,,,,,
Kampala/Bukoto I,7117.0,3,1,1114213.8613,,,,,,,,,,,,,,,,,,,
Wakiso/Buwambo,6644.0,0,1,427714.4482,,,,,,,,,,,,,,,,,,,
Kampala/Kiwatule,6013.0,29,41,1465299.3487,1000000000.0,10961423.5242,31318352.9264,4.6787,3.3419,5.8484,1.0,0.9994,0.9977,0.0017,1000000.0,43.959,33.8146,54.9487,3333333.3333,0.9054,0.3922,0.3905,230660.997
Wakiso/Bbikka,907.0,0,0,214203.6475,,,,,,,,,,,,,,,,,,,
Wakiso/Maganjo,21225.0,0,0,612693.516,,,,,,,,,,,,,,,,,,,
Buikwe/Mawotto,1908.0,0,0,218645.3971,,,,,,,,,,,,,,,,,,,
Luwero/Ngogolo,2055.0,0,0,275534.2449,,,,,,,,,,,,,,,,,,,
