pt,n_listings,n_rent,n_sale,access_min,tt_cbd_min,tt_expressway_min,tt_bypass_min,tt_rail_min,acc_ntl_30,acc_jobs_30_bld,acc_jobs_30_ntl,acc_jobs_30_mix,acc_ntl_45,acc_jobs_45_bld,acc_jobs_45_ntl,acc_jobs_45_mix,acc_ntl_60,acc_jobs_60_bld,acc_jobs_60_ntl,acc_jobs_60_mix,lon,lat
POINT (453080.211387 37992.427767),11,5,6,0.806,10.637,14.279,5.399,10.956,22117.218,989448.075,971808.286,989377.652,35101.822,1144828.836,1154298.813,1160363.324,41828.712,1221352.794,1241332.128,1243026.437,32.578,0.344
POINT (453096.641331 36580.388849),1,1,0,0.159,6.156,14.588,6.699,6.502,22864.649,1004762.5,994460.738,1007215.937,34944.626,1141996.912,1152420.245,1157357.178,41753.953,1220437.245,1240338.308,1241877.796,32.578,0.331
POINT (453122.382161 35310.893112),46,28,18,0.109,2.674,16.98,9.137,4.052,22203.105,994662.729,993715.482,999875.886,33916.315,1128810.59,1139751.362,1143300.762,41352.115,1214483.775,1234673.542,1235914.353,32.579,0.319
POINT (453129.331245 41428.899582),8,0,8,1.336,17.407,15.957,6.943,18.297,20061.852,930937.746,909498.253,927867.963,34906.763,1145775.541,1149584.739,1160590.067,42029.962,1222840.379,1244279.748,1245812.644,32.579,0.375
POINT (453169.830477 23585.54286),35,7,28,0.082,28.676,9.79,17.257,29.934,13294.297,382005.454,406337.623,390257.545,28498.551,1039090.129,1057477.291,1049148.756,36876.94,1161743.42,1180951.728,1175585.71,32.579,0.213
POINT (453249.425328 39648.205841),33,16,17,1.173,15.58,14.131,5.117,16.471,21032.796,952754.625,935150.734,951821.971,35355.808,1150121.514,1156382.689,1165646.171,42018.397,1223747.494,1243698.149,1245637.463,32.58,0.359
POINT (453415.464845 35117.857267),167,107,60,0.26,2.4,18.21,10.367,3.778,21602.336,986069.081,986276.326,991121.737,33377.785,1121735.168,1133231.261,1136060.848,41073.274,1210915.524,1230922.316,1232282.473,32.581,0.318
POINT (453542.980296 34663.152366),88,9,79,0.33,0.66,18.886,11.043,2.038,21974.969,987358.773,992663.262,993590.141,33610.923,1124511.09,1136007.558,1139081.842,41160.327,1212680.892,1232073.339,1233945.418,32.583,0.314
POINT (453590.70565 31412.374213),115,61,54,0.06,9.369,18.887,18.482,10.628,19498.997,922493.237,942852.305,930720.793,31077.015,1088252.919,1105553.199,1101650.801,39838.514,1196039.913,1216481.218,1215850.222,32.583,0.284
POINT (453608.401408 36872.81551),2,0,2,1.628,9.84,16.488,8.572,10.106,21031.512,978384.61,964216.913,978607.942,33985.437,1130600.763,1140661.687,1145166.328,41275.339,1214156.884,1233947.058,1235492.122,32.583,0.334
POINT (453636.070228 49739.85509),36,3,33,2.282,40.224,38.774,29.539,41.114,5149.31,117904.887,97584.61,116872.298,18548.83,776923.938,798266.429,796091.862,33070.672,1123672.603,1116557.545,1138005.517,32.583,0.45
POINT (453680.30925 36638.736689),1,1,0,1.251,7.293,15.865,7.95,6.526,21787.242,992137.323,980946.812,993596.273,34343.433,1134899.423,1145050.287,1149737.694,41510.523,1216895.777,1236944.8,1238486.306,32.584,0.331
POINT (453711.142324 37389.508804),1,0,1,0.37,9.069,15.685,7.207,9.365,22109.101,991850.065,980264.03,993800.521,34627.16,1138152.271,1148436.641,1153470.289,41589.163,1218005.622,1238040.325,1239748.579,32.584,0.338
POINT (453721.51596 36133.455389),1,0,1,0.097,5.262,15.566,7.676,4.494,22695.276,1002724.517,997437.469,1006903.703,34733.328,1139511.387,1149720.957,1154657.327,41721.466,1219948.622,1239694.327,1241467.56,32.584,0.327
POINT (453948.402632 43153.175312),16,2,14,0.392,24.321,23.262,14.248,24.64,14381.618,740993.278,760871.288,755198.217,30563.118,1088123.671,1081526.337,1098145.917,40170.131,1202184.312,1218933.46,1224300.231,32.586,0.39
POINT (453960.220503 36551.127569),1,1,0,0.496,6.956,18.292,10.377,6.034,21276.769,983451.836,977417.28,986172.163,33718.741,1125761.679,1137297.795,1141023.105,41196.941,1213082.337,1232367.358,1234672.184,32.586,0.331
POINT (454315.676388 95836.116708),3,0,3,104.406,212.828,210.064,202.457,213.807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.589,0.867
