pt,n_listings,n_rent,n_sale,access_min,tt_cbd_min,tt_expressway_min,tt_bypass_min,tt_rail_min,acc_ntl_30,acc_jobs_30_bld,acc_jobs_30_ntl,acc_jobs_30_mix,acc_ntl_45,acc_jobs_45_bld,acc_jobs_45_ntl,acc_jobs_45_mix,acc_ntl_60,acc_jobs_60_bld,acc_jobs_60_ntl,acc_jobs_60_mix,lon,lat
POINT (451929.319528 30728.234542),13,4,9,1.273,12.981,25.389,24.863,14.715,12992.814,737971.959,771336.153,751231.22,23681.611,991797.672,1011144.904,1001346.007,32670.162,1106127.368,1124829.099,1119906.258,32.568,0.278
POINT (451998.482275 35100.926595),12,4,8,0.076,6.849,20.932,12.848,8.648,15761.401,886241.767,876188.907,885070.894,26795.254,1043658.536,1053332.037,1053159.565,34971.648,1140861.836,1153014.146,1155854.609,32.569,0.318
POINT (452106.414272 34683.637086),2,0,2,0.063,5.388,20.684,13.984,7.142,16189.552,893178.277,884325.61,892305.612,26861.486,1042185.832,1054475.809,1052129.539,35003.425,1141255.764,1153392.342,1156231.139,32.57,0.314
POINT (452125.12364 29521.204757),63,4,59,1.664,17.425,23.724,28.425,19.16,10868.674,654449.522,669011.527,663145.914,21828.21,949823.618,973117.904,959584.065,31127.955,1086008.854,1106271.437,1098522.779,32.57,0.267
POINT (452144.303759 34949.666868),2,2,0,0.235,5.55,23.04,13.474,7.304,15607.293,887113.373,878497.659,886480.846,26270.038,1035845.379,1047249.87,1045620.843,34637.115,1136445.76,1148637.479,1151526.654,32.57,0.316
POINT (452228.093023 34903.980027),158,66,92,0.065,5.142,22.81,13.543,6.896,15745.716,889000.284,880358.608,888392.936,26355.15,1036594.241,1048357.006,1046532.356,34703.058,1137155.455,1149432.166,1152236.026,32.571,0.316
POINT (452434.021063 35171.284976),2,0,2,0.207,4.6,22.416,12.22,6.455,15898.042,896651.874,885647.009,895094.357,26609.654,1040036.552,1051316.069,1050136.919,34861.703,1139001.548,1151287.78,1154424.985,32.573,0.318
POINT (452524.773713 33969.045151),8,0,8,0.596,4.937,23.821,16.375,6.672,15545.387,874016.206,875004.564,876446.429,25909.099,1025767.843,1043042.571,1036204.978,34237.089,1130817.981,1143737.538,1145439.393,32.573,0.307
POINT (452576.4942 12930.165079),15,3,12,3.669,78.175,36.204,56.602,79.91,522.179,7461.964,6322.245,6616.661,2207.064,22123.123,26721.874,24016.071,5813.607,49022.458,73997.557,57415.713,32.574,0.117
POINT (452649.530683 37027.492434),4,0,4,0.827,9.729,17.231,6.981,10.246,16685.32,908174.357,888139.935,903419.077,28767.476,1069926.25,1076005.812,1080564.891,36735.846,1162567.055,1174582.706,1179396.108,32.574,0.335
POINT (452992.100833 33099.131065),12,2,10,0.423,5.533,21.757,17.753,7.268,15796.154,865076.311,874939.819,870865.435,26150.183,1026080.651,1045959.822,1037169.189,34311.645,1130445.111,1144858.802,1145429.927,32.578,0.299
POINT (453005.907676 43302.441888),82,23,59,1.228,27.965,26.179,14.462,29.222,9141.15,534766.284,578417.951,559087.573,21596.433,955645.22,933320.962,953737.832,33693.415,1131859.806,1131543.698,1144931.747,32.578,0.392
POINT (453058.305336 43704.216068),2,2,0,1.396,29.055,27.269,15.552,30.312,8051.145,458718.555,491066.173,475546.269,20718.721,938037.967,914998.452,934928.336,33095.815,1124735.995,1121937.223,1136615.159,32.578,0.395
POINT (453080.211387 37992.427767),26,11,15,0.806,13.487,18.321,6.777,14.001,15227.847,862871.094,847359.512,859451.509,27922.02,1062122.431,1060739.118,1070779.909,36309.664,1158981.653,1169224.633,1175176.916,32.578,0.344
POINT (453096.641331 36580.388849),2,2,0,0.159,7.857,18.917,8.661,8.405,16402.654,909506.727,889801.044,904368.994,28049.08,1060403.648,1067758.773,1070527.403,36038.031,1154871.708,1165863.666,1170870.084,32.578,0.331
POINT (453122.382161 35310.893112),160,96,64,0.109,3.344,22.042,11.846,5.234,16046.551,904636.005,888651.829,901019.227,26894.607,1042988.152,1054781.022,1053409.181,35024.379,1140865.283,1153234.373,1156528.55,32.579,0.319
POINT (453129.331245 41428.899582),20,0,20,1.336,22.129,20.343,8.625,23.386,13147.854,730466.535,750493.556,742873.49,26368.076,1036228.483,1018081.262,1038591.583,36274.544,1159824.152,1168031.835,1176159.102,32.579,0.375
POINT (453169.830477 23585.54286),70,14,56,0.082,37.155,12.702,22.41,38.89,6226.61,68898.885,108413.812,81685.932,19404.029,751843.105,780712.92,763411.751,29507.799,1057833.87,1075105.342,1067562.215,32.579,0.213
POINT (453249.425328 39648.205841),92,47,45,1.173,19.804,18.018,6.3,21.06,14125.717,795951.204,795394.37,797299.075,27480.804,1049340.173,1038445.135,1054673.571,36686.87,1163695.0,1173627.382,1180513.108,32.58,0.359
POINT (453258.853048 30694.595578),1,0,1,0.15,13.059,25.468,24.942,14.794,12394.635,741251.559,771469.109,754383.803,23037.928,983649.198,1003475.639,992518.643,31718.638,1095018.872,1113302.885,1108501.132,32.58,0.278
POINT (453415.464845 35117.857267),335,215,120,0.26,2.943,23.595,13.399,4.833,15521.276,892767.668,880168.811,890103.665,26147.178,1033382.948,1045796.387,1043370.319,34480.328,1134507.534,1146516.126,1149599.268,32.581,0.318
POINT (453542.980296 34663.152366),183,20,163,0.33,0.66,24.453,14.257,2.55,16259.847,904598.558,897735.131,904659.609,26718.016,1037062.612,1052837.758,1048100.747,34765.505,1137536.897,1149916.009,1153118.909,32.583,0.314
POINT (453590.70565 31412.374213),286,155,131,0.06,12.063,24.535,24.009,13.798,13350.132,771398.233,807210.311,785063.594,23654.918,991638.705,1012529.453,1001212.387,32302.463,1102171.324,1120387.694,1116311.967,32.583,0.284
POINT (453608.401408 36872.81551),4,0,4,1.628,12.204,20.945,10.655,12.649,14816.465,872886.639,853910.403,867235.691,26719.909,1047148.722,1049686.035,1056041.195,35306.94,1144877.444,1156745.132,1160803.705,32.583,0.334
POINT (453636.070228 49739.85509),75,6,69,2.282,51.508,49.722,37.716,52.764,2933.813,56172.441,46942.86,56252.583,8920.148,211665.977,196946.019,212111.174,20681.058,850207.732,861479.739,865362.676,32.583,0.45
POINT (453680.30925 36638.736689),2,2,0,1.251,9.007,20.249,9.959,8.108,15656.731,897294.221,877717.665,891474.68,27229.338,1051911.451,1057620.737,1061175.815,35602.916,1149327.326,1160477.194,1165185.172,32.584,0.331
POINT (453711.142324 37389.508804),2,0,2,0.37,11.58,20.279,9.258,12.064,15624.632,890398.431,870474.433,884997.082,27448.509,1055352.402,1058974.56,1064909.396,35763.008,1151116.073,1162394.221,1167374.127,32.584,0.338
POINT (453721.51596 36133.455389),2,0,2,0.097,6.712,20.206,9.95,5.813,16445.818,913967.69,896536.39,909544.07,27672.861,1054164.444,1063840.68,1064500.418,35849.915,1152133.508,1163420.469,1168377.683,32.584,0.327
POINT (453744.466328 34049.244024),1,1,0,0.282,4.829,25.222,17.049,6.284,15882.423,888521.792,889639.658,890887.503,26260.626,1028472.876,1047309.541,1039845.351,34424.033,1132091.591,1145784.939,1147686.82,32.584,0.308
POINT (453948.402632 43153.175312),69,23,46,0.392,31.4,30.123,18.405,31.914,7103.795,371027.67,394766.004,381270.823,19951.536,908395.886,893284.957,908330.707,32118.148,1107460.352,1105226.109,1119242.403,32.586,0.39
POINT (453960.220503 36551.127569),2,2,0,0.496,8.795,23.631,13.341,7.696,15121.208,889048.996,871990.629,885150.918,26275.501,1037992.924,1046218.178,1048084.927,34894.481,1139114.191,1151454.472,1155296.406,32.586,0.331
